Head,HeadName,SameHeadStartFlag,Programme No.,Programme Name,Sector,2015-16-Actual,"2016-17
(Original)
($m)","2016-17
(Revised)
($m)","2017-18
(Estimate)
($m)"
170,Social Welfare Department,0,4,Rehabilitation and Medical Social Services,Subvented/private sectors,4962.9,5066.1,5328.4,5696.5
170,Social Welfare Department,0,5,Services for Offenders,Government sector,281.4,304.6,296.6,300.2
170,Social Welfare Department,0,5,Services for Offenders,Subvented sector,69,69.9,72.5,72.7
170,Social Welfare Department,0,6,Community Development,Government sector,4.8,4.7,4.9,4.9
170,Social Welfare Department,0,6,Community Development,Subvented sector,178.5,178.8,185.6,185.6
170,Social Welfare Department,0,7,Young People,Government sector,82.7,97.9,96.6,98.2
170,Social Welfare Department,0,7,Young People,Subvented sector,1808.2,1842.7,1919.5,1919.7
173,Working Family and Student Financial Assistance Agency,1,1,Student Assistance Scheme,,4759.7,5089.9,4692.1,4764.1
173,Working Family and Student Financial Assistance Agency,0,2,Low-income Working Family Allowance,,98.2,3180.6,936.4,3433.8
174,Joint Secretariat for the Advisory Bodies on Civil Service and Judicial Salaries and Conditions of Service,1,1,Secretariat services for the following advisory bodies¡X¡E Standing Commission on Civil Service Salaries and Conditions of Service¡E Standing Committee on Disciplined Services Salaries and Conditions of Service¡E Standing Committee on Directorate Salaries and Conditions of Service¡E Standing Committee on Judicial Salaries and Conditions of Service¡E Advisory Committee on Post-service Employment of Civil Servants,,30.7,29.2,30.4,33.1
180,Office for Film- Newspaper and Article Administration,1,1,"Film Classification, Control of Obscene and Indecent Articles and Newspaper Registration",,44.1,46.9,47.2,48.3
181,Trade and Industry Department,1,1,Commercial Relations,,118.6,131.8,147,149.9
181,Trade and Industry Department,0,2,Trade Support and Facilitation,,121.4,129.1,120.9,122.8
181,Trade and Industry Department,0,3,Support for Small and Medium Enterprises and Industries,,479,512.8,498.8,529.7
186,Transport Department,1,1,Planning and Development,,383.6,414.8,395.1,446.3
186,Transport Department,0,2,Licensing of Vehicles and Drivers,,356.7,394.1,376.7,379.9
186,Transport Department,0,3,District Traffic and Transport Services,,483.2,478.1,456.9,478.3
186,Transport Department,0,4,Management of Transport Services,,315,333.3,311,467.1
186,Transport Department,0,5,Transport Services for Persons with Disabilities and Government Public Transport Fare Concession Scheme for the Elderly and Eligible Persons with Disabilities,,969.4,1238.2,1108.8,1325.7
188,Treasury,1,1,"Central Accounting, Collections and Payments",,137.2,135.4,136.8,142.2
188,Treasury,0,2,"Payment of Salaries, Pensions and Benefits",,118.2,118.7,122.3,124.5
188,Treasury,0,3,Accounting and Financial Information Systems,,114.3,115,117.4,117.4
188,Treasury,0,4,Management of Funds,,7.5,7.3,7.5,7.8
190,University Grants Committee,1,1,University Grants Committee,,17581.1,17966.1,18613.7,18661.7
194,Water Supplies Department,1,1,Water Supply: Planning and Distribution,,6999.1,7241.1,7265.1,7510.9
194,Water Supplies Department,0,2,Water Quality Control,,189.7,210.2,258.1,271.4
194,Water Supplies Department,0,3,Customer Services,,470.1,472.6,478.7,499.8
