Head (Code),Head,Sub-head (Code),Sub-head,"Item (Code)
","Ambit
","Approved commitment
$¡¦000","Accumulated expenditure to 31.3.2017
$¡¦000","Revised estimated expenditure for 2017¡V18
$¡¦000","Balance
$¡¦000"
341,Non-recurrent Grants,320,The Hong Kong Buddhist Association,008,Replacing a vehicle for Buddhist Sum Ma Shui Ying Care and Attention Home for the Elderly,1015,0,0,1015
341,Non-recurrent Grants,320,The Hong Kong Buddhist Association,009,Furnishing and equipping for Buddhist Sum Ma Shui Ying Care and Attention Home for the Elderly,550,0,0,550
341,Non-recurrent Grants,330,Hong Kong Children and Youth Services,002,Fitting out for a sub-base for Hong Kong Children and Youth Services Hung Hom Integrated Family Service Centre,709,0,0,709
341,Non-recurrent Grants,340,Hong Kong Christian Service,066,Replacing two passenger lifts for social services building in Tsim Sha Tsui,1793,988,0,805
341,Non-recurrent Grants,340,Hong Kong Christian Service,067,Fitting out for reprovisioning Lotus Day Care Centre for the Elderly in Sham Shui Po,2162,1969,0,193
341,Non-recurrent Grants,340,Hong Kong Christian Service,069,Fitting out for reprovisioning Sham Shui Po Integrated Home Care Services Team in Sham Shui Po,3126,2782,0,344
341,Non-recurrent Grants,340,Hong Kong Christian Service,078,Fitting out for reprovisioning of Family Ties Integrated Family Service Centre in Sham Shui Po,7449,6106,0,1343
341,Non-recurrent Grants,340,Hong Kong Christian Service,083,Fitting out for the reprovisioning of Kwun Tong Integrated Children and Youth Service¡XKwun Tong Happy Teens Club,9915,0,0,9915
341,Non-recurrent Grants,340,Hong Kong Christian Service,084,Furnishing and equipping for the reprovisioning of Kwun Tong Integrated Children and Youth Service¡XKwun Tong Happy Teens Club,447,0,0,447
341,Non-recurrent Grants,340,Hong Kong Christian Service,085,Renovating Social Service Building in Tsim Sha Tsui,855,0,0,855
341,Non-recurrent Grants,340,Hong Kong Christian Service,086,Furnishing and equipping for the provision of new training places under the training subsidy programme for Hong Kong Christian Service,1311,0,0,1311
341,Non-recurrent Grants,360,The Hong Kong Council of Social Service,048,Carrying out fire safety improvement works for the Duke of Windsor Social Service Building in Wan Chai,3842,0,0,3842
341,Non-recurrent Grants,360,The Hong Kong Council of Social Service,049,Implementing a four-year pilot project on non-governmental organisations¡¦ governance platform,9703,2426,1819,5458
341,Non-recurrent Grants,370,"The Society of Rehabilitation and Crime Prevention, Hong Kong",028,Renovating Rotary (Lok Fu) Hostel in Lok Fu,2093,0,0,2093
341,Non-recurrent Grants,370,"The Society of Rehabilitation and Crime Prevention, Hong Kong",030,Renovating the head office in Wan Chai,1980,1745,0,235
341,Non-recurrent Grants,370,"The Society of Rehabilitation and Crime Prevention, Hong Kong",032,Renovating Sun Sang Hostel in Kwai Chung,3217,63,0,3154
341,Non-recurrent Grants,370,"The Society of Rehabilitation and Crime Prevention, Hong Kong",033,Undertaking fire safety/building safety rectification measures for meeting the licensing requirements for Chun Shek Halfway House,1388,10,0,1378
341,Non-recurrent Grants,370,"The Society of Rehabilitation and Crime Prevention, Hong Kong",034,"Renovating the Society of Rehabilitation and Crime Prevention, Hong Kong Shau Kei Wan House",7267,30,0,7237
341,Non-recurrent Grants,370,"The Society of Rehabilitation and Crime Prevention, Hong Kong",035,Undertaking fire safety/building safety rectification measures for meeting the licensing requirements for Sunrise House,438,0,0,438
341,Non-recurrent Grants,370,"The Society of Rehabilitation and Crime Prevention, Hong Kong",036,Renovating Chan Chun Ha Yee Tsui House in Tuen Mun,4307,0,0,4307
341,Non-recurrent Grants,390,Hong Kong Family Welfare Society,048,Purchasing a vehicle for East Kowloon (Shun On) Centre Integrated Home Care Services,1131,0,0,1131
341,Non-recurrent Grants,400,The Hong Kong Federation of Youth Groups,074,Fitting out for an interactive media counselling centre in Aberdeen,5532,5121,0,411
341,Non-recurrent Grants,400,The Hong Kong Federation of Youth Groups,075,Carrying out detailed design and site investigation works for Youth Hostel Project in Tai Po,1270,0,500,770
341,Non-recurrent Grants,400,The Hong Kong Federation of Youth Groups,077,"Meeting part of the construction cost for the redevelopment of the site of the Hong Kong Federation of Youth Groups Tai Po Lions Youth Space for Participation, Opportunities and Training",24000,0,0,24000
341,Non-recurrent Grants,400,The Hong Kong Federation of Youth Groups,078,Fitting out for an integrated children and youth services centre in Hung Shui Kiu,10606,0,0,10606
341,Non-recurrent Grants,419,The Hong Kong Joint Council of Parents of the Mentally Handicapped,001,Renovating Trailwalker Community Education Centre,1306,1210,0,96
341,Non-recurrent Grants,444,Hong Kong PHAB Association,014,"Renovating, furnishing and equipping for Kowloon East PHAB Centre in Wong Tai Sin",3096,0,28,3068
341,Non-recurrent Grants,444,Hong Kong PHAB Association,015,"Renovating, furnishing and equipping for Hong Kong Island PHAB Centre in Chai Wan",3056,2361,0,695
341,Non-recurrent Grants,444,Hong Kong PHAB Association,019,Lift door alteration works for the common area of Pokfulam Shine Skills Centre,688,0,0,688
341,Non-recurrent Grants,444,Hong Kong PHAB Association,020,Fitting out for reprovisioning of Peng Chau Neighbourhood Elderly cum Children/Youth Centre in Peng Chau,9036,0,0,9036
341,Non-recurrent Grants,450,Hong Kong Playground Association,027,"Fitting out for an integrated children and youth services centre at Choi Tak Estate, Kwun Tong",6350,5872,0,478
341,Non-recurrent Grants,450,Hong Kong Playground Association,028,Renovating Mongkok Integrated Service Centre for Children and Youth in Mong Kok,3006,0,2285,721
341,Non-recurrent Grants,450,Hong Kong Playground Association,031,Renovating Jockey Club Tsing Yi Integrated Service Centre for Children and Youth,5451,0,0,5451
341,Non-recurrent Grants,460,Hong Kong Red Cross,030,"Redeveloping Hong Kong Red Cross Headquarters at Hoi Ting Road, West Kowloon Reclamation Area",83780,50665,0,33115
341,Non-recurrent Grants,460,Hong Kong Red Cross,032,Renovating Hong Kong Red Cross Shun Lee Hostel in Kwun Tong,4478,3756,0,722
341,Non-recurrent Grants,475,Hong Kong Social Workers Association Limited,003,Implementing the Supportive Supervision Scheme on a three-year pilot basis,3962,3674,66,222
341,Non-recurrent Grants,476,The Hong Kong Society for Rehabilitation,011,Consultancy fee for slope investigation and remedial works at Lam Tin Complex in Kwun Tong,498,473,0,25
341,Non-recurrent Grants,476,The Hong Kong Society for Rehabilitation,014,Consultancy fee for slope works at Lam Tin Complex in Kwun Tong,420,210,0,210
341,Non-recurrent Grants,476,The Hong Kong Society for Rehabilitation,015,Carrying out ground investigation works for Lam Tin Complex in Kwun Tong,900,793,13,94
341,Non-recurrent Grants,476,The Hong Kong Society for Rehabilitation,016,Meeting the cost of slope upgrading works for Lam Tin Complex in Kwun Tong,6165,0,0,6165
341,Non-recurrent Grants,476,The Hong Kong Society for Rehabilitation,017,Technical feasibility study for redevelopment of Lam Tin Complex in Kwun Tong under Special Scheme on Privately Owned Sites for Welfare Uses,1859,0,0,1859
341,Non-recurrent Grants,476,The Hong Kong Society for Rehabilitation,018,Fitting out for reprovisioning of Community Rehabilitation Network New Territories Prince of Wales Centre in Sha Tin,2793,0,0,2793
341,Non-recurrent Grants,480,The Hong Kong Society for the Aged,088,Renovating SAGE Kwan Fong Nim Chee Home for the Elderly in Sha Tin,28809,24661,830,3318
341,Non-recurrent Grants,480,The Hong Kong Society for the Aged,089,"Renovating, furnishing and equipping for Kai Yip Home for the Elderly in Kowloon Bay",7082,6253,0,829
341,Non-recurrent Grants,480,The Hong Kong Society for the Aged,094,"Renovating, furnishing and equipping for Shek Wai Kok Home for the Elderly in Tsuen Wan",10353,8203,548,1602
341,Non-recurrent Grants,480,The Hong Kong Society for the Aged,096,Renovating SAGE Sun Kwai Hing Gardens Day Care Centre for the Elderly in Kwai Chung,2141,1803,18,320
341,Non-recurrent Grants,480,The Hong Kong Society for the Aged,097,Fitting out for a day care centre for the elderly in Kwai Tsing,4909,4541,85,283
341,Non-recurrent Grants,480,The Hong Kong Society for the Aged,100,"Renovating, furnishing and equipping for Mrs. Y. K. Fung Home for the Elderly in Lam Tin",13856,60,60,13736
341,Non-recurrent Grants,480,The Hong Kong Society for the Aged,102,Replacing a vehicle for the Hong Kong Society for the Aged Kwan Fong Nim Chee Home for the Elderly,1026,0,0,1026
341,Non-recurrent Grants,480,The Hong Kong Society for the Aged,103,Replacing a vehicle for the Hong Kong Society for the Aged Madam Ho Sin Hang Home for the Elderly,1125,0,0,1125
341,Non-recurrent Grants,480,The Hong Kong Society for the Aged,104,Renovating and purchasing furniture and equipment for converting home for aged places into long term care places for Mrs Wong Yee Jar Jat Memorial Home for the Elderly in Sha Tin,18261,0,0,18261
341,Non-recurrent Grants,484,The Hong Kong Society for the Blind,030,Repairing drainage and plumbing system and replacing the lifts for the Hong Kong Jockey Club Centre for the Blind (West Wing) in Sham Shui Po,4450,3702,129,619
341,Non-recurrent Grants,484,The Hong Kong Society for the Blind,031,Rectifying the exterior wall for the Factory for the Blind in To Kwa Wan,2058,494,0,1564
341,Non-recurrent Grants,484,The Hong Kong Society for the Blind,036,Renovating Jockey Club Tuen Mun Home for the Aged Blind,2877,2616,117,144
341,Non-recurrent Grants,484,The Hong Kong Society for the Blind,040,Undertaking fire safety/building safety rectification measures for Kowloon Home for the Aged Blind,2086,1371,480,235
341,Non-recurrent Grants,484,The Hong Kong Society for the Blind,042,Purchasing a centre bus for a day activity centre cum hostel for severely mentally handicapped persons,1005,0,0,1005
341,Non-recurrent Grants,484,The Hong Kong Society for the Blind,043,Technical feasibility study for redevelopment of the Factory for the Blind in To Kwa Wan under the Special Scheme on Privately Owned Sites for Welfare Uses,3700,0,0,3700
341,Non-recurrent Grants,486,The Hong Kong Society for the Deaf,008,Furnishing and equipping for reprovisioning and expanding the early education training centre and expanding the sub-base of multi-service centre for hearing impaired persons in Tuen Mun,800,0,0,800
341,Non-recurrent Grants,486,The Hong Kong Society for the Deaf,009,Fitting out for reprovisioning and expanding the early education training centre and expanding the sub-base of multi-service centre for hearing impaired persons in Tuen Mun,4823,0,0,4823
341,Non-recurrent Grants,490,Hong Kong Society for the Protection of Children,039,Renovating Children¡¦s Residential Home in Mong Kok,9702,3970,2958,2774
341,Non-recurrent Grants,490,Hong Kong Society for the Protection of Children,041,Renovating the head office building at Portland Street in Mong Kok,554,0,0,554
341,Non-recurrent Grants,490,Hong Kong Society for the Protection of Children,042,"Renovating, furnishing and equipping for Park'N Shop Staff Charitable Fund Nursery School in Mong Kok",435,0,342,93
341,Non-recurrent Grants,490,Hong Kong Society for the Protection of Children,043,Furnishing and equipping for Sze Wu Shu Min Nursery School in Tseung Kwan O,412,0,0,412
341,Non-recurrent Grants,490,Hong Kong Society for the Protection of Children,044,Renovating Hong Kong Society for the Protection of Children for Ocean Shores Nursery School in Tiu Keng Leng,458,0,0,458
341,Non-recurrent Grants,510,The Hong Kong Student Aid Society Limited,019,Renovating Island Hostel in Shek Pik,3070,0,0,3070
341,Non-recurrent Grants,510,The Hong Kong Student Aid Society Limited,020,Renovating Mark Memorial Home in Tseung Kwan O,14479,0,0,14479
341,Non-recurrent Grants,512,"The Hong Kong Tuberculosis, Chest and Heart Diseases Association",006,Replacing a vehicle for Freni Care and Attention Home,955,0,0,955
341,Non-recurrent Grants,516,Hong Kong Young Women¡¦s Christian Association,065,"Renovating, furnishing and equipping for Cheng Pon Hing Hostel for the Elderly at Lei Tung Estate, Ap Lei Chau",13893,11931,236,1726
341,Non-recurrent Grants,516,Hong Kong Young Women¡¦s Christian Association,069,Fitting out for additional premises of Kwun Lung Lau Community Work Office in Kennedy Town,892,830,0,62
341,Non-recurrent Grants,530,Housing Department,125,Constructing a 150-place residential care home for the elderly at the site of ex-Cheung Sha Wan Police Quarters in Sham Shui Po,47404,36040,54,11310
341,Non-recurrent Grants,530,Housing Department,126,Constructing a 100-place residential care home for the elderly in Sha Tin Area 52,26656,20578,250,5828
341,Non-recurrent Grants,530,Housing Department,127,Constructing a 100-place residential care home for the elderly in a public housing estate development in Tung Chung Area 56,46861,26522,4954,15385
341,Non-recurrent Grants,530,Housing Department,128,Constructing a 80-place day care centre for the elderly at ex-Tai Wo Hau Factory Estate Site in Tsuen Wan,38662,27273,3228,8161
341,Non-recurrent Grants,530,Housing Department,129,Constructing a special child care centre cum early education and training centre at Pak Tin Community Hall,68690,0,7500,61190
341,Non-recurrent Grants,530,Housing Department,130,Constructing a 100-place residential care home for the elderly cum 20-place day care unit at the site of ex-Kwai Chung Police Married Quarters in Kwai Chung,49019,22686,10000,16333
341,Non-recurrent Grants,530,Housing Department,131,Constructing a 100-place residential care home for the elderly cum 20-place day care unit at Anderson Road in Kwun Tong,65043,33628,16688,14727
341,Non-recurrent Grants,530,Housing Department,132,Constructing a 150-place residential care home for the elderly cum 30-place day care unit at Shek Mun Estate (Phase II) in Sha Tin,123990,6598,8000,109392
341,Non-recurrent Grants,530,Housing Department,133,Constructing a 100-place residential care home for the elderly in Sha Tin Areas 16 and 58D in Fo Tan,31353,4504,3684,23165
341,Non-recurrent Grants,530,Housing Department,134,Constructing a 100-place residential care home for the elderly in Sheung Shui,55122,783,0,54339
341,Non-recurrent Grants,530,Housing Department,135,Constructing a 100-place residential care home for the elderly at social welfare facilities block of public rental housing development at North West Kowloon Reclamation Area in Sham Shui Po,55087,90,4604,50393
341,Non-recurrent Grants,530,Housing Department,136,Constructing a 100-place residential care home for the elderly in the social welfare facilities block of public rental housing development in Tai Po,84457,0,1148,83309
341,Non-recurrent Grants,530,Housing Department,137,"Constructing a neighbourhood elderly centre, a district youth outreaching team, a 60-place special child care centre and a 90-place early education and training centre accommodated in an ancillary facilities block in the public housing development at Tseung Kwan O",83140,0,0,83140
341,Non-recurrent Grants,530,Housing Department,138,"Constructing a 100-place residential care home for the elderly in public housing development at Hang Tai Road, Ma On Shan.",80236,0,0,80236
341,Non-recurrent Grants,580,Kiangsu Chekiang and Shanghai Residents (Hong Kong) Association,008,"Renovating, furnishing and equipping for Tuen Mun Hostel for the Elderly",13245,7599,3296,2350
341,Non-recurrent Grants,580,Kiangsu Chekiang and Shanghai Residents (Hong Kong) Association,009,Renovating and purchasing furniture and equipment for Kwai Tsing Hostel for the Elderly in Kwai Chung,17070,0,0,17070
341,Non-recurrent Grants,600,Wai Ji Christian Service,024,Renovating Nam Shan Day Activity Centre in Shek Kip Mei,3971,3245,0,726
341,Non-recurrent Grants,600,Wai Ji Christian Service,027,Undertaking fire safety/building safety rectification measures for Supported Hostel I and II in Yuen Long,696,0,550,146
341,Non-recurrent Grants,600,Wai Ji Christian Service,028,Undertaking fire safety/building safety rectification measures for meeting the licensing requirements for Bradbury Centre and Hostel at Tin King,2420,0,0,2420
341,Non-recurrent Grants,600,Wai Ji Christian Service,029,Renovating head office in Shek Kip Mei,1165,0,0,1165
341,Non-recurrent Grants,600,Wai Ji Christian Service,030,Purchasing five centre buses for five day activity centres cum hostels for severely mentally handicapped persons,5023,0,0,5023
341,Non-recurrent Grants,600,Wai Ji Christian Service,031,Replacing a vehicle for Wai Ji Christian Service Sheltered Workshop and Hostel at Un Chau Estate,979,0,0,979
341,Non-recurrent Grants,610,Lam Tin Estate Kai Fong Welfare Association Limited,003,"Renovating a social centre for the elderly at Kwong Tin Estate, Lam Tin",2376,2045,153,178
341,Non-recurrent Grants,620,"The Lok Sin Tong Benevolent Society, Kowloon",011,Fitting out for a residential care home for the elderly in Tai Kok Tsui,18963,17295,0,1668
341,Non-recurrent Grants,620,"The Lok Sin Tong Benevolent Society, Kowloon",014,Renovating converting home for the aged into long term care places for Leung Kau Kui Home for the Elderly in Wong Tai Sin,11107,0,0,11107
341,Non-recurrent Grants,630,Lotus Association of Hong Kong,002,Replacing a vehicle for Chi Yun School,947,0,0,947
341,Non-recurrent Grants,634,Hong Kong Lutheran Social Service¡XThe Lutheran Church¡XHong Kong Synod Limited,077,"Renovating, furnishing and equipping for Chan En Mei Lutheran Day Nursery in Cheung Chau",4096,2544,956,596
341,Non-recurrent Grants,634,Hong Kong Lutheran Social Service¡XThe Lutheran Church¡XHong Kong Synod Limited,079,Fitting out for reprovisioning Rainbow Lutheran Centre in Tseung Kwan O,3883,3303,0,580
341,Non-recurrent Grants,634,Hong Kong Lutheran Social Service¡XThe Lutheran Church¡XHong Kong Synod Limited,081,Undertaking fire safety/building safety rectification measures for Lei Tung Lutheran Hostel,502,364,137,1
341,Non-recurrent Grants,634,Hong Kong Lutheran Social Service¡XThe Lutheran Church¡XHong Kong Synod Limited,082,Purchasing a centre bus for a day activity centre cum hostel for severely mentally handicapped persons,1005,0,0,1005
341,Non-recurrent Grants,634,Hong Kong Lutheran Social Service¡XThe Lutheran Church¡XHong Kong Synod Limited,083,Replacing a vehicle for Mr & Mrs Lawrence Wong Second Lutheran Home for the Elderly,964,0,0,964
341,Non-recurrent Grants,634,Hong Kong Lutheran Social Service¡XThe Lutheran Church¡XHong Kong Synod Limited,084,Renovating Martha Boss Lutheran Community Centre in Ho Man Tin,9393,0,0,9393
341,Non-recurrent Grants,646,Mental Health Association of Hong Kong,031,Fitting out for an integrated community centre for mental wellness in Kwun Tong,3175,2939,0,236
341,Non-recurrent Grants,646,Mental Health Association of Hong Kong,032,Undertaking fire safety/building safety rectification measures for Hin Keng House,800,0,0,800
341,Non-recurrent Grants,646,Mental Health Association of Hong Kong,033,Purchasing two centre buses for two day activity centres cum hostels for severely mentally handicapped persons,2010,0,0,2010
341,Non-recurrent Grants,646,Mental Health Association of Hong Kong,034,Undertaking fire safety/building safety rectification measures for Jockey Club Building¡XHostel for Moderately Mentally Handicapped Persons,712,0,0,712
341,Non-recurrent Grants,646,Mental Health Association of Hong Kong,035,Undertaking fire safety/building safety rectification measures for meeting statutory requirements for Jockey Club Building¡XHalfway House,670,0,0,670
341,Non-recurrent Grants,649,"The Methodist Church, Hong Kong",002,Fitting out for a residential care home for the elderly cum day care unit in Shek Kip Mei,19536,18392,0,1144
341,Non-recurrent Grants,660,The Mongkok Kai-fong Association Limited,006,Renovating Chan Hing Social Service Centre in Tai Kok Tsui,7508,0,0,7508
341,Non-recurrent Grants,672,Neighbourhood & Worker¡¦s Education Centre Limited,002,"Fitting out for a mutual help child care centre at Cheung On Estate, Tsing Yi",782,735,0,47
341,Non-recurrent Grants,674,The Neighbourhood Advice-Action Council,045,"Fitting out for a supported hostel for mentally handicapped persons at Shun Lee Estate, Kwun Tong",2177,1991,0,186
341,Non-recurrent Grants,674,The Neighbourhood Advice-Action Council,047,"Fitting out for an integrated rehabilitation services centre at A Kung Kok Shan Road, Sha Tin",33634,30517,0,3117
341,Non-recurrent Grants,674,The Neighbourhood Advice-Action Council,062,Fitting out for a district support centre for persons with disabilities in Wong Tai Sin,3565,2436,978,151
341,Non-recurrent Grants,674,The Neighbourhood Advice-Action Council,066,Fitting out for a special child care centre cum early education and training centre in Wong Tai Sin,3126,2024,0,1102
341,Non-recurrent Grants,674,The Neighbourhood Advice-Action Council,069,Fitting out for the office under the pilot scheme on home care service for persons with severe disabilities in Tuen Mun,1356,1032,1,323
341,Non-recurrent Grants,674,The Neighbourhood Advice-Action Council,070,"Renovating, furnishing and equipping for Tai Hing Hostel in Tuen Mun",8641,8066,0,575
341,Non-recurrent Grants,674,The Neighbourhood Advice-Action Council,071,Renovating Sun Chui Day Creche in Sha Tin,1284,1160,0,124
341,Non-recurrent Grants,674,The Neighbourhood Advice-Action Council,073,"Fitting out for an integrated rehabilitation services centre at Kau Wah Keng, Kwai Chung",38666,33736,363,4567
341,Non-recurrent Grants,674,The Neighbourhood Advice-Action Council,075,Fitting out for a hostel for moderately mentally handicapped persons in Tuen Mun,20269,18326,0,1943
341,Non-recurrent Grants,674,The Neighbourhood Advice-Action Council,078,"Fitting out for a special child care centre cum early education and training centre at Shan King Estate, Tuen Mun",3639,3301,0,338
341,Non-recurrent Grants,674,The Neighbourhood Advice-Action Council,080,Renovating Sunny Manor in Wong Tai Sin,3713,0,90,3623
341,Non-recurrent Grants,674,The Neighbourhood Advice-Action Council,081,Undertaking fire safety/building safety rectification measures for Lower Wongtaisin Day Activity Centre cum Hostel,1829,0,0,1829
341,Non-recurrent Grants,674,The Neighbourhood Advice-Action Council,082,Purchasing six centre buses for five day activity centres cum hostels for severely mentally handicapped persons and a community rehabilitation day centre,6028,0,0,6028
341,Non-recurrent Grants,674,The Neighbourhood Advice-Action Council,083,Meeting the cost of Sewage Treatment Plant Enhancement Works for Fairyland in Kwai Chung,4359,0,0,4359
341,Non-recurrent Grants,674,The Neighbourhood Advice-Action Council,084,Undertaking fire safety/building safety rectification measures for meeting statutory requirements for Wellness Manor,1833,0,0,1833
341,Non-recurrent Grants,682,New Life Psychiatric Rehabilitation Association,037,Fitting out for a supported hostel for ex-mentally ill persons at Shatin Hospital,14054,13231,0,823
341,Non-recurrent Grants,682,New Life Psychiatric Rehabilitation Association,043,Fitting out for an integrated community centre for mental wellness in Sham Shui Po,4127,3758,0,369
341,Non-recurrent Grants,682,New Life Psychiatric Rehabilitation Association,045,Fitting out for an integrated community centre for mental wellness in Tuen Mun,2687,2214,0,473
341,Non-recurrent Grants,682,New Life Psychiatric Rehabilitation Association,046,Undertaking fire safety/building safety rectification measures for Tin Yuet Halfway House,657,348,264,45
341,Non-recurrent Grants,682,New Life Psychiatric Rehabilitation Association,047,Undertaking fire safety/building safety rectification measures for Tin King Hostel,974,0,0,974
341,Non-recurrent Grants,682,New Life Psychiatric Rehabilitation Association,048,Fitting out for additional premises of the Wellness Centre (Islands) in Cheung Chau,623,557,27,39
341,Non-recurrent Grants,682,New Life Psychiatric Rehabilitation Association,050,Meeting the cost of a technical feasibility study for the extension works of New Life Building in Sham Shui Po,3922,0,2078,1844
341,Non-recurrent Grants,682,New Life Psychiatric Rehabilitation Association,052,Fitting out for additional premises of The Wellness Centre (Islands) in Tung Chung,1136,0,0,1136
341,Non-recurrent Grants,682,New Life Psychiatric Rehabilitation Association,053,Undertaking fire safety/building safety rectification measures for meeting the licensing requirements for Shek Lei Halfway House,1053,0,0,1053
341,Non-recurrent Grants,682,New Life Psychiatric Rehabilitation Association,054,Undertaking fire safety/building safety rectification measures for meeting the licensing requirements for Chuk Yuen Halfway House,1025,0,0,1025
341,Non-recurrent Grants,682,New Life Psychiatric Rehabilitation Association,055,Replacing underground drainage pipe for Tuen Mun Long Stay Care Home in Tuen Mun,611,0,0,611
341,Non-recurrent Grants,682,New Life Psychiatric Rehabilitation Association,056,Fitting out for an integrated community centre for mental wellness,6399,0,0,6399
341,Non-recurrent Grants,682,New Life Psychiatric Rehabilitation Association,057,Furnishing and equipping for setting up a new integrated community centre for mental wellness,411,0,0,411
341,Non-recurrent Grants,682,New Life Psychiatric Rehabilitation Association,058,Undertaking fire safety/building safety rectification measures for meeting the licensing requirements for Pok Hong Halfway House,1034,0,0,1034
341,Non-recurrent Grants,682,New Life Psychiatric Rehabilitation Association,060,Undertaking fire safety/building safety rectification measures for meeting statutory requirements for Shan King Halfway House,1034,0,0,1034
341,Non-recurrent Grants,682,New Life Psychiatric Rehabilitation Association,061,Undertaking fire safety/building safety rectification measures for meeting statutory requirements for Sun Chui Halfway House,775,0,0,775
341,Non-recurrent Grants,682,New Life Psychiatric Rehabilitation Association,062,Renovating New Life Psychiatric Rehabilitation Association Yi Yuet Hin in Tuen Mun,4939,0,0,4939
341,Non-recurrent Grants,682,New Life Psychiatric Rehabilitation Association,063,Undertaking fire safety/building safety rectification measures for meeting statutory requirements for Lei Tung Halfway House,1167,0,0,1167
341,Non-recurrent Grants,698,S.K.H. St. Simon¡¦s Social Services,006,"Renovating, furnishing and equipping for Hong Kong Sheng Kung Hui St. Simon¡¦s Leung King Nursery School in Tuen Mun",1071,20,953,98
341,Non-recurrent Grants,728,Pentecostal Church of Hong Kong Ltd.,007,Renovating Hong Lok Hostel in Tuen Mun,7371,6388,63,920
341,Non-recurrent Grants,728,Pentecostal Church of Hong Kong Ltd.,010,Renovating Tai Wo Nursery School in Tai Po,1616,1359,0,257
341,Non-recurrent Grants,728,Pentecostal Church of Hong Kong Ltd.,011,Renovating Tseung Kwan O Nursery School in Tseung Kwan O,737,645,0,92
341,Non-recurrent Grants,730,Po Leung Kuk,093,"Fitting out for additional premises of Mrs. Chao King Lin Neighbourhood Elderly Centre at Cheung Fat Estate, Tsing Yi",1685,1564,0,121
341,Non-recurrent Grants,730,Po Leung Kuk,096,"Fitting out for a residential care home for the elderly at Kwai Chung Estate, Kwai Chung",15995,14419,0,1576
341,Non-recurrent Grants,730,Po Leung Kuk,098,Fitting out for a refuge centre for women,4921,4587,0,334
341,Non-recurrent Grants,730,Po Leung Kuk,102,"Fitting out for a special child care centre cum early education and training centre at Chuk Yuen (South) Estate, Wong Tai Sin",4200,3731,0,469
341,Non-recurrent Grants,730,Po Leung Kuk,104,"Fitting out for an integrated rehabilitation services centre at Kwai Shing Circuit, Kwai Chung",49158,46700,0,2458
341,Non-recurrent Grants,730,Po Leung Kuk,111,"Fitting out for a residential care home for the elderly at Man Tung Road, Tung Chung",17046,15424,0,1622
341,Non-recurrent Grants,730,Po Leung Kuk,112,Fitting out for reprovisioning and in-situ expansion of Tin Chak Hostel in Tin Shui Wai,11087,10532,0,555
341,Non-recurrent Grants,730,Po Leung Kuk,115,Fitting out for a district support centre for persons with disabilities in Sha Tin District,3358,3023,0,335
341,Non-recurrent Grants,730,Po Leung Kuk,124,Renovating the babies section in Causeway Bay,2193,1121,842,230
341,Non-recurrent Grants,730,Po Leung Kuk,125,"Fitting out for a residential care home for the elderly cum day care unit at Cherry Street, Tai Kok Tsui",12650,11394,0,1256
341,Non-recurrent Grants,730,Po Leung Kuk,130,Renovating Merry Court for the Senior in Ho Man Tin,2624,63,163,2398
341,Non-recurrent Grants,730,Po Leung Kuk,133,Fitting out for a residential care home for the elderly cum day care unit in Sai Ying Pun,16154,14861,0,1293
341,Non-recurrent Grants,730,Po Leung Kuk,140,Fitting out for a day care centre for the elderly in Kwun Tong,4689,4302,0,387
341,Non-recurrent Grants,730,Po Leung Kuk,144,"Fitting out for a neighbourhood elderly centre at Kai Ching Estate, Kowloon City",4445,3768,0,677
341,Non-recurrent Grants,730,Po Leung Kuk,145,Fitting out for an integrated rehabilitation services centre in Sham Shui Po,23199,21113,0,2086
341,Non-recurrent Grants,730,Po Leung Kuk,146,Furnishing and equipping for a new integrated rehabilitation services centre in Sham Shui Po,4302,1952,2233,117
341,Non-recurrent Grants,730,Po Leung Kuk,147,"Renovating, furnishing and equipping for Wai Yin Nursery in Quarry Bay",2628,141,68,2419
341,Non-recurrent Grants,730,Po Leung Kuk,148,Renovating Comfort Court for the Senior cum Evergreen Day Care Centre for the Elderly in Kwai Chung,1643,0,0,1643
341,Non-recurrent Grants,730,Po Leung Kuk,150,Fitting out for an early education and training centre in Sha Tin,3541,3293,0,248
341,Non-recurrent Grants,730,Po Leung Kuk,151,"Renovating, furnishing and equipping for Lek Yuen Kindergarten cum Nursery in Sha Tin",1743,0,0,1743
341,Non-recurrent Grants,730,Po Leung Kuk,157,Replacing a 14-seater liquefied petroleum gas private light bus with a 14-seater liquefied petroleum gas private light bus for Ageing Well Day Care Centre for the Elderly,792,0,0,792
341,Non-recurrent Grants,730,Po Leung Kuk,161,Replacing a 12-seater diesel private light bus with a 14-seater liquefied petroleum gas private light bus for Po Leung Kuk 1982 Board of Directors Day Care Centre for the Elderly,869,0,0,869
341,Non-recurrent Grants,730,Po Leung Kuk,163,"Furnishing and equipping for a new residential care home for the elderly cum day care unit at Cross Street, Wan Chai",3157,0,2553,604
341,Non-recurrent Grants,730,Po Leung Kuk,164,"Fitting out for a residential care home for the elderly cum day care unit at Cross Street, Wan Chai",22736,7623,11850,3263
341,Non-recurrent Grants,730,Po Leung Kuk,166,Furnishing and equipping for Kwok Law Kwai Chun Home for the Elderly in Sheung Wan,1677,176,1444,57
341,Non-recurrent Grants,730,Po Leung Kuk,168,Lift door alteration works for the common area of Pokfulam Shine Skills Centre,688,0,0,688
