"Head","Account","Subhead (Code)","Subhead","Item (Code)","Ambit","Approved commitment
$'000","Accumulated expenditure
to 31.3.2017
$'000","Revised estimated expenditure
for 2017-18
$'000","Balance
$'000"
"148","Operating Account","700","General non-recurrent","888","Pilot programme to enhance talent training for the insurance sector and the asset and wealth management sector",100000,25200,9955,64845
"148","Operating Account","700","General non-recurrent","889","Exit package for Insurance Officer Grade Officers",31200,0,30500,700
"151","Operating Account","700","General non-recurrent","801","Fire Safety Improvement Works Subsidy Scheme",2000000,0,0,2000000
"152","Operating Account","700","General non-recurrent","801","Professional Services Advancement Support Scheme",200000,0,5000,195000
"152","Operating Account","700","General non-recurrent","802","Injection into Consumer Legal Action Fund",10000,0,0,10000
"152","Operating Account","700","General non-recurrent","804","Funding for Competition Commission's litigation work",238346,0,0,238346
"152","Operating Account","700","General non-recurrent","818","Measures for Manpower Development of Retail Industry",130000,34359,3208,92433
"152","Operating Account","700","General non-recurrent","833","SME Financing Guarantee Scheme ¡V Special Concessionary Measures",100000000,434000,0,99566000
"152","Operating Account","700","General non-recurrent","835","Consultancy on the Phase 2 development of the Hong Kong Disneyland Resort",27300,1484,2033,23783
"156","Operating Account","700","General non-recurrent","801","Pilot Subsidy Scheme for Students of Professional Part-time Programmes",200000,7300,26700,166000
"156","Operating Account","700","General non-recurrent","805","Seventh Matching Grant Scheme for the self-financing post-secondary education sector",500000,0,300000,200000
"156","Operating Account","700","General non-recurrent","806","Enhancing the professional development of teachers and principals",500000,0,0,500000
"156","Operating Account","700","General non-recurrent","813","Grant to the Vocational Training Council for implementing the Pilot Training and Support Scheme",288000,60918,59210,167872
"156","Operating Account","700","General non-recurrent","817","Mainland University Study Subsidy Scheme",105300,17468,8850,78982
"156","Operating Account","700","General non-recurrent","820","Scholarship Scheme for Studying Outside Hong Kong",347965,53038,44000,250927
"156","Operating Account","700","General non-recurrent","839","Yi Jin Diploma",1000000,375073,85000,539927
"156","Operating Account","700","General non-recurrent","840","E-Textbook Market Development Scheme",50000,34905,1707,13388
"156","Operating Account","700","General non-recurrent","848","Implementation of the Fourth Strategy on Information Technology in Education",105000,79337,18732,6931
"156","Operating Account","700","General non-recurrent","896","Pilot Scheme on Promoting Interflows between Sister Schools in Hong Kong and the Mainland",200000,51599,106927,41474
"156","Operating Account","700","General non-recurrent","917","One-off grant for the promotion of Chinese history and culture ",125000,0,116583,8417
"156","Operating Account","700","General non-recurrent","925","One-off grant to secondary schools for promotion of Science, Technology, Engineering and Mathematics education",102600,90600,2232,9768
"156","Operating Account","700","General non-recurrent","935","Injection into the HKSAR Government Scholarship Fund",800000,0,0,800000
"156","Operating Account","700","General non-recurrent","987","Qualifications Framework Support Schemes",208000,185836,22162,2
"156","Capital Account","871","Vocational Training Council","807","Revamp of Human Resource Management Information System and Payroll System",39480,0,0,39480
"156","Capital Account","871","Vocational Training Council","895","Enhancement of e-Learning platform and ancillary support services",9834,4659,2300,2875
"158","Operating Account","700","General non-recurrent","801","Review of Land Requirement of the Modern Logistics, Port Backup and Vehicle Repairing Industries ",9100,0,0,9100
"158","Operating Account","700","General non-recurrent","807","Maritime and Aviation Training Fund",100000,26468,22570,50962
"158","Operating Account","700","General non-recurrent","884","Monitoring and Verification Services Consultancy for the detailed design and construction stages of the Three-Runway System Project",184400,3765,16610,164025
"159","Operating Account","700","General non-recurrent","801","Consultancies for Enhancing Project Cost Management",10200,0,3410,6790
"159","Operating Account","700","General non-recurrent","818","Enhancing the Skill Level of Construction Manpower",100000,5951,12000,82049
"159","Operating Account","700","General non-recurrent","868","Investing in Construction Manpower",320000,290245,12000,17755
"159","Operating Account","700","General non-recurrent","870","Conservation and Revitalisation of Historic Buildings",200000,48332,12517,139151
"160","Operating Account","700","General non-recurrent","837","Community Involvement Broadcasting Fund",45000,17318,7000,20682
"160","Capital Account","603","Plant, vehicles and equipment","825","Establishment of Fill-in Stations for the Digital Terrestrial Television service of Radio Television Hong Kong",64200,16812,13752,33636
"160","Capital Account","603","Plant, vehicles and equipment","899","Production equipment for enhancement of Digital Terrestrial Television service",15530,6039,5773,3718
"166","Capital Account","603","Plant, vehicles and equipment","821","Procurement of seven helicopters and the associated mission equipment",2187500,617706,339051,1230743
"166","Capital Account","603","Plant, vehicles and equipment","869","Replacement of two fixed-wing aircraft and the associated mission equipment",776000,758006,994,17000
"170","Operating Account","700","General non-recurrent","470","Partnership Fund for the Disadvantaged",1200000,386689,50000,763311
"170","Operating Account","700","General non-recurrent","521","Enhancing employment of people with disabilities through small enterprise",254000,87488,14000,152512
"170","Operating Account","700","General non-recurrent","802","Additional provision for social security recipients 2017",3490000,0,2906000,584000
"170","Operating Account","700","General non-recurrent","803","Additional provision for social security recipients 2018",7447000,0,0,7447000
"170","Operating Account","700","General non-recurrent","804","One-off support grant for needy students in the 2018/19 School Year",142000,0,0,142000
"170","Operating Account","700","General non-recurrent","811","Short-term food assistance",1047000,469592,85382,492026
"170","Operating Account","700","General non-recurrent","812","Injection into Trust Fund for Severe Acute Respiratory Syndrome 2018",50000,0,0,50000
"170","Operating Account","700","General non-recurrent","813","Innovation and Technology Fund for Application in Elderly and Rehabilitation Care",1000000,0,0,1000000
"170","Operating Account","700","General non-recurrent","814","Arts Development Fund for Persons with Disabilities",250000,0,0,250000
"173","Operating Account","700","General non-recurrent","508","Continuing Education Fund",6200000,4217773,151153,1831074
"173","Operating Account","700","General non-recurrent","801","Additional provision for Low-income Working Family Allowance recipients 2017",72686,0,60651,12035
"173","Operating Account","700","General non-recurrent","802","Additional provision for Low-income Working Family Allowance/Working Family Allowance recipients 2018",325804,0,0,325804
"173","Operating Account","700","General non-recurrent","803","One-off support grant for needy students in the 2018/19 School Year",600000,0,0,600000
"173","Operating Account","700","General non-recurrent","804","Caring and Sharing Scheme",11316000,0,0,11316000
"181","Operating Account","700","General non-recurrent","520","SME Loan Guarantee Scheme",30000000,272048,31000,29696952
"181","Operating Account","700","General non-recurrent","524","SME Export Marketing and Development Funds",5250000,3710623,168000,1371377
"181","Operating Account","700","General non-recurrent","802","Special Loan Guarantee Scheme",100000000,639411,88500,99272089
"181","Operating Account","700","General non-recurrent","836","Dedicated Fund on Branding, Upgrading and Domestic Sales",1000000,344143,108500,547357
"186","Operating Account","700","General non-recurrent","845","Setting up of a centralised settlement platform and related system enhancement for implementing the Government Public Transport Fare Concession Scheme for the Elderly and Eligible Persons with Disabilities",17197,15038,1000,1159
"186","Operating Account","700","General non-recurrent","853","Relocation of Transport Department's operation centres to the West Kowloon Government Offices",56049,130,1011,54908
"186","Operating Account","700","General non-recurrent","854","Replacement of the existing tram tracks with the use of new rail jacket technology",19658,0,1966,17692
"186","Operating Account","700","General non-recurrent","855","Consultancy study on enhancing the walkability in Hong Kong",21620,0,1147,20473
"186","Operating Account","700","General non-recurrent","861","Provision of Special Helping Measures for the Six Major Outlying Island Ferry Routes",412140,0,41215,370925
"186","Operating Account","700","General non-recurrent","880","Enhancing the HKeTransport service to facilitate the use by the elderly ",3800,1191,1162,1447
"186","Operating Account","700","General non-recurrent","881","Study on installation of smart devices at signalised pedestrian crossings for the elderly ",4000,881,2150,969
"186","Operating Account","700","General non-recurrent","890","Upgrading public transport ancillary facilities to benefit passengers through provision of one-off subsidy to franchised bus operators for installing seats and display panels for provision of real-time bus arrival information at bus stops/termini",88270,0,2500,85770
"186","Operating Account","700","General non-recurrent","897","Consultancy study on parking for commercial vehicles",9900,0,440,9460
"186","Operating Account","700","General non-recurrent","898","Consultancy study on the co-ordination of other public transport services with Shatin to Central Link",6400,252,4537,1611
"186","Capital Account","603","Plant, vehicles and equipment","856","Replacement of high voltage and low voltage power supply system in the Tseung Kwan O Tunnel",70560,0,1000,69560
"186","Capital Account","603","Plant, vehicles and equipment","857","Replacement of manual toll collection system and installation of e-payment system in Tate's Cairn Tunnel",27050,0,1000,26050
"186","Capital Account","603","Plant, vehicles and equipment","858","Replacement of automatic fire alarm system in Cheung Tsing Tunnel",26334,0,500,25834
"186","Capital Account","603","Plant, vehicles and equipment","859","Replacement of automatic fire alarm system in the Kai Tak Tunnel",22680,0,500,22180
"186","Capital Account","603","Plant, vehicles and equipment","860","Replacement of low voltage power supply system in the Kai Tak Tunnel",35280,0,900,34380
"186","Capital Account","603","Plant, vehicles and equipment","863","Replacement of fire service system at Tseung Kwan O Tunnel",13507,0,0,13507
"186","Capital Account","603","Plant, vehicles and equipment","864","Replacement of uninterruptible power supply (UPS) systems at various locations in Tsing Ma Control Area",11897,0,0,11897
"186","Capital Account","603","Plant, vehicles and equipment","865","Replacement of UPS systems at various locations in Lion Rock Tunnel",11930,0,0,11930
"186","Capital Account","603","Plant, vehicles and equipment","866","Replacement of closed circuit television system in the Cross-Harbour Tunnel",10810,0,0,10810
"186","Capital Account","603","Plant, vehicles and equipment","867","Replacement of high voltage power supply system in the Cheung Tsing Tunnel, Tsing Ma Control Area",50400,0,0,50400
"186","Capital Account","603","Plant, vehicles and equipment","870","Replacement of network for the central monitoring system in Tsing Sha Control Area",44000,0,0,44000
"186","Capital Account","603","Plant, vehicles and equipment","871","Replacement of high voltage power supply system in the Kai Tak Tunnel",33900,0,0,33900
"186","Capital Account","603","Plant, vehicles and equipment","872","Replacement of environmental monitoring system for Aberdeen Tunnel",12600,0,0,12600
"186","Capital Account","603","Plant, vehicles and equipment","873","Replacement of environmental monitoring system for Lion Rock Tunnel",12600,0,0,12600
"186","Capital Account","603","Plant, vehicles and equipment","882","Replacement of air-conditioning systems and equipment in the administration buildings in the Tsing Ma Control Area",14520,0,0,14520
"186","Capital Account","603","Plant, vehicles and equipment","883","Procurement of new generation of parking meter system and the associated equipment",304000,0,0,304000
"190","Operating Account","700","General non-recurrent","802","Injection into the Research Endowment Fund",3000000,0,0,3000000
"190","Operating Account","700","General non-recurrent","932","Provision of non-means-tested studentships for local students enrolled in University Grants Committee-funded research postgraduate programmes",70000,0,0,70000
