"Head","Account","Type","Sub-head (Code)","Sub-head","Reimbursements
$'000","Actual
expenditure
2016-17
$'000","Approved
estimate
2017-18
$'000","Revised
estimate
2017-18
$'000","Estimate
2018-19
$'000"
"173","Operating Account","Recurrent","228","Student financial assistance",,4133262,4104320,3768096,3765391
"173","Operating Account","Non-Recurrent","700","General non-recurrent",,163481,244170,211804,12436460
"174","Operating Account","Recurrent","000","Operational expenses",,30410,33107,32823,33757
"180","Operating Account","Recurrent","000","Operational expenses",,46222,48345,48548,50316
"181","Operating Account","Recurrent","000","Operational expenses",,361264,369411,368524,375251
"181","Operating Account","Non-Recurrent","700","General non-recurrent",,367176,433035,396000,400000
"184","Capital Account","Transfers to Funds","988","Payment to the Loan Fund",,2000000,2000000,2000000,1000000
"184","Capital Account","Transfers to Funds","990","Payment to the Disaster Relief Fund",,64000,50000,50000,60000
"184","Capital Account","Transfers to Funds","991","Payment to the Civil Service Pension Reserve Fund",,3800000,2300000,2300000,1530000
"184","Capital Account","Transfers to Funds","","Payment to the Capital Investment Fund",,9000000,0,0,0
"184","Capital Account","Transfers to Funds","","Payment to the Capital Works Reserve Fund",,0,4500000,0,0
"184","Capital Account","Transfers to Funds","","Payment to the Innovation and Technology Fund",,9000000,0,0,0
"186","Operating Account","Recurrent","000","Operational expenses",,1530591,1687208,1636281,1995778
"186","Operating Account","Recurrent","166","Government Public Transport Fare Concession Scheme for the Elderly and Eligible Persons with Disabilities",,991029,1197917,1096556,1308628
"186","Operating Account","Recurrent","256","Public Transport Fare Subsidy Scheme",,0,0,0,775000
"186","Operating Account","Non-Recurrent","700","General non-recurrent",,67000,82067,91091,182910
"186","Capital Account","Plant, Equipment and Works","603","Plant, vehicles and equipment",,15519,27047,40328,60734
"186","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,30503,86138,82455,129835
"186","Capital Account","Subventions","927","Hong Kong Society for Rehabilitation - rehabuses (block vote)",,17506,16969,18666,33030
"188","Operating Account","Recurrent","000","Operational expenses",,379279,388051,393881,400705
"188","Operating Account","Recurrent","003","Recoverable salaries and allowances (General)",7144,,,,
"188","Operating Account","Recurrent","","Deduct reimbursement",-7144,,,,
"188","Operating Account","Recurrent","187","Agents' commission and expenses",,3604,3859,3773,3859
"188","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,0,0,0,2231
"190","Operating Account","Recurrent","000","Operational expenses",,18610482,18661695,19002755,19137113
"190","Operating Account","Non-Recurrent","700","General non-recurrent",,0,0,0,3070000
"194","Operating Account","Recurrent","000","Operational expenses",,3439725,3482132,3525023,3596097
"194","Operating Account","Recurrent","223","Purchase of water",,4543660,4788290,4780890,4795210
"194","Capital Account","Plant, Equipment and Works","661","Minor plant, vehicles and equipment (block vote)",,17682,11672,11672,12669
