"Head","Expenditure Component","Conventional Subhead","2016-17
(Actual)
($'000)","2017-18
(Original)
($'000)","2017-18
(Revised)
($'000)","2018-19
(Estimate)
($'000)"
"138","Departmental Expenses","General departmental expenses",47701,74584,56051,59922
"139","Personal Emoluments","Salaries",44041,48805,49407,53684
"139","Personal Emoluments","Allowances",2982,3658,3183,3981
"139","Personal Emoluments","Job-related allowances",0,2,2,2
"139","Personnel Related Expenses","Mandatory Provident Fund contribution",83,84,115,85
"139","Personnel Related Expenses","Civil Service Provident Fund contribution",1627,2464,2341,3268
"139","Departmental Expenses","General departmental expenses",82362,107068,99426,104563
"140","Personal Emoluments","Salaries",92376,98340,99040,126780
"140","Personal Emoluments","Allowances",4550,5370,4370,5028
"140","Personal Emoluments","Job-related allowances",0,2,2,2
"140","Personnel Related Expenses","Mandatory Provident Fund contribution",168,147,214,197
"140","Personnel Related Expenses","Civil Service Provident Fund contribution",3735,5487,5453,10736
"140","Departmental Expenses","General departmental expenses",155758,209074,208762,341839
"140","Subventions","Hospital Authority",52619456,54409320,55520103,61470771
"140","Subventions","Prince Philip Dental Hospital",154476,157676,160253,194152
"141","Personal Emoluments","Salaries",90241,94116,91036,95050
"141","Personal Emoluments","Allowances",4262,3504,2697,2165
"141","Personal Emoluments","Job-related allowances",3,6,4,5
"141","Personnel Related Expenses","Mandatory Provident Fund contribution",255,191,225,212
"141","Personnel Related Expenses","Civil Service Provident Fund contribution",4378,5418,4827,6220
"141","Departmental Expenses","General departmental expenses",72884,93816,76375,88453
"141","Other Charges","Financial assistance for family membersof those who sacrifice their lives tosave others",9360,9000,4500,10000
"141","Other Charges","Public education on rehabilitation",12178,13500,13500,13500
"141","Other Charges","Integrated Discharge SupportProgramme for Elderly Patients",182669,191264,187281,191352
"141","Subventions","Environmental Advisory Service",1940,1940,1992,1992
"141","Subventions","Vocational Training Council",203481,196783,200547,200327
"141","Subventions","Shine Skills Centres",101135,101135,103272,103933
"141","Subventions","Guardianship Board",5559,6722,6802,7658
"141","Subventions","Legal representation scheme for children/juveniles involved in care or protection proceedings",4647,5460,5016,5200
"141","Subventions","Adult Education Subvention Scheme",11013,12000,11354,12000
"142","Personal Emoluments","Salaries",328446,343459,334944,311402
"142","Personal Emoluments","Allowances",9254,10753,11572,9495
"142","Personal Emoluments","Job-related allowances",3,3,22,20
"142","Personnel Related Expenses","Mandatory Provident Fund contribution",982,669,1030,1203
"142","Personnel Related Expenses","Civil Service Provident Fund contribution",9854,15012,13010,16188
"142","Departmental Expenses","Remuneration for special appointments",22890,25586,17100,12500
"142","Departmental Expenses","Honoraria for members of committees",2150,2250,2386,4168
"142","Departmental Expenses","Hire of services and professional fees",190842,244133,211150,185784
"142","Departmental Expenses","General departmental expenses",339684,342261,349975,210256
"142","Subventions","Duty Lawyer Service",0,0,0,106953
"142","Subventions","Legal Aid Services Council",0,0,0,4987
"143","Personal Emoluments","Salaries",427795,452694,448702,476599
"143","Personal Emoluments","Allowances",6759,6856,7556,7702
"143","Personal Emoluments","Job-related allowances",0,5,1,1
"143","Personnel Related Expenses","Mandatory Provident Fund contribution",574,585,617,696
"143","Personnel Related Expenses","Civil Service Provident Fund contribution",10496,13041,12794,15018
"143","Departmental Expenses","Training expenses",74192,79241,77123,82390
"143","Departmental Expenses","General departmental expenses",49224,48204,49719,70440
"144","Personal Emoluments","Salaries",165408,184858,179505,196381
"144","Personal Emoluments","Allowances",19272,22921,22235,25555
"144","Personal Emoluments","Job-related allowances",0,2,2,2
"144","Personnel Related Expenses","Mandatory Provident Fund contribution",149,146,152,145
"144","Personnel Related Expenses","Civil Service Provident Fund contribution",8312,9712,8903,10092
"144","Personnel Related Expenses","Disturbance allowance",2785,4468,2489,5818
"144","Departmental Expenses","General departmental expenses",149320,170875,171671,196316
"144","Other Charges","Publicity",66483,98983,99519,44205
"144","Other Charges","Activities to promote equal opportunities and human rights",9374,11325,12325,7016
"144","Subventions","Equal Opportunities Commission",108988,105977,108014,108014
"144","Subventions","Office of the Privacy Commissioner for Personal Data",76012,75632,79969,75469
"147","Personal Emoluments","Salaries",133101,143971,139880,148572
"147","Personal Emoluments","Allowances",5984,6514,6432,5668
"147","Personal Emoluments","Job-related allowances",0,2,2,2
"147","Personnel Related Expenses","Mandatory Provident Fund contribution",162,120,200,175
"147","Personnel Related Expenses","Civil Service Provident Fund contribution",5810,6800,7600,8842
"147","Departmental Expenses","Honoraria for members of committees",2099,2358,2391,2567
"147","Departmental Expenses","General departmental expenses",21217,20797,21422,22405
"148","Personal Emoluments","Salaries",139184,143749,123000,96900
"148","Personal Emoluments","Allowances",8411,9747,6510,5690
"148","Personal Emoluments","Job-related allowances",1,2,2,2
"148","Personnel Related Expenses","Mandatory Provident Fund contribution",157,123,145,129
"148","Personnel Related Expenses","Civil Service Provident Fund contribution",3933,4646,4730,5424
"148","Departmental Expenses","Hire of services and professional fees",39359,33314,27000,32600
"148","Departmental Expenses","General departmental expenses",98697,89282,80000,58272
"148","Subventions","Financial Services Development Council",0,0,0,23280
"151","Personal Emoluments","Salaries",137864,160000,150000,178622
"151","Personal Emoluments","Allowances",3955,5515,4142,4515
"151","Personal Emoluments","Job-related allowances",8,22,15,22
"151","Personnel Related Expenses","Mandatory Provident Fund contribution",305,275,435,384
"151","Personnel Related Expenses","Civil Service Provident Fund contribution",6584,7713,7668,8456
"151","Departmental Expenses","Honoraria for members of committees",28351,65106,54265,84786
"151","Departmental Expenses","General departmental expenses",67807,217736,109729,213466
"151","Other Charges","World Customs Organization",206,220,221,240
"151","Other Charges","United Nations International Drug Control Programme and World Health Organization",217,217,217,217
"151","Other Charges","Action Committee Against Narcotics",4589,4600,4600,4600
"151","Subventions","Legal assistance scheme for non-refoulement claimants by the Duty Lawyer Service",121998,145226,120751,147050
"152","Personal Emoluments","Salaries",163681,198414,188497,223383
"152","Personal Emoluments","Allowances",7568,8128,6840,8186
"152","Personal Emoluments","Job-related allowances",0,4,4,4
"152","Personnel Related Expenses","Mandatory Provident Fund contribution",208,164,202,169
"152","Personnel Related Expenses","Civil Service Provident Fund contribution",7250,11498,8355,12864
"152","Personnel Related Expenses","Disturbance allowance",171,0,0,87
"152","Departmental Expenses","General departmental expenses",170023,249061,233620,403782
"152","Other Charges","Subscription to the World Trade Organization",40168,45172,40174,46060
"152","Subventions","Consumer Council",112079,104732,106917,111984
"152","Subventions","Hong Kong-Japan Business Co-operation Committee",3610,3610,3610,3610
"152","Subventions","Hong Kong Tourism Board",883200,944443,951193,941193
"152","Subventions","Hong Kong Trade Development Council",389457,385523,385523,435523
"152","Subventions","Competition Commission",79532,78693,80245,101871
"155","Personal Emoluments","Salaries",146129,160017,158438,188054
"155","Personal Emoluments","Allowances",3955,5254,5170,5347
"155","Personal Emoluments","Job-related allowances",0,2,2,2
"155","Personnel Related Expenses","Mandatory Provident Fund contribution",518,439,643,647
"155","Personnel Related Expenses","Civil Service Provident Fund contribution",5825,6967,7666,9077
"155","Departmental Expenses","General departmental expenses",79861,83263,84746,117658
"155","Subventions","Hong Kong Productivity Council",200819,212955,215876,205616
"155","Subventions","Hong Kong Applied Science and Technology Research Institute Company Limited",140063,143648,143648,143648
"156","Personal Emoluments","Salaries",3188418,3296387,3308697,3443210
"156","Personal Emoluments","Allowances",41272,45542,46083,47414
"156","Personal Emoluments","Job-related allowances",10,35,22,35
"156","Personnel Related Expenses","Mandatory Provident Fund contribution",10111,13526,11907,16071
"156","Personnel Related Expenses","Civil Service Provident Fund contribution",87347,109676,109442,133127
"156","Departmental Expenses","Temporary staff",468832,475166,525000,558987
"156","Departmental Expenses","Remuneration for special appointments",107453,115282,111251,120129
"156","Departmental Expenses","General departmental expenses",585418,597073,585195,683258
"156","Other Charges","Teacher training",72992,96839,88760,89311
"156","Other Charges","Curriculum Development Institute",248689,251389,238417,254919
"156","Other Charges","Subject and curriculum block grant for government schools",129068,136478,130836,139038
"156","Other Charges","Subsidy and scholarship schemes for vocational and post-secondary education",70866,182600,751622,1570198
"156","Other Charges","School extra-curricular activities, programmes, grants and prizes",210786,236807,221117,286153
"156","Other Charges","Pre-primary Education Voucher Scheme",3194047,1116348,1127289,23747
"156","Subventions","Code of Aid for primary schools",14132245,14654071,15217021,16306829
"156","Subventions","Code of Aid for secondary schools",20312077,20353321,20800276,21447402
"156","Subventions","Code of Aid for special schools",2237777,2361990,2392265,2628224
"156","Subventions","Direct Subsidy Scheme",3818253,3988838,4013186,4213362
"156","Subventions","Child Care Centre Subsidy Scheme",15384,16134,15503,17151
"156","Subventions","Assistance to caput schools",95557,94677,101847,102928
"156","Subventions","English Schools Foundation junior schools",108933,92086,92073,75269
"156","Subventions","English Schools Foundation secondary schools",171621,172034,171988,172191
"156","Subventions","Refund of rent, rates and government rent to private schools, educational institutes and study rooms",412908,232765,248713,143401
"156","Subventions","Miscellaneous educational services",279354,341852,306656,362097
"156","Subventions","Vocational Training Council",2359730,2312005,2376473,2384126
"156","Subventions","Free Quality Kindergarten Education Scheme",0,4052439,3901818,5949392
"158","Personal Emoluments","Salaries",146819,164265,157039,166960
"158","Personal Emoluments","Allowances",6924,6493,6504,6454
"158","Personal Emoluments","Job-related allowances",1,3,3,3
"158","Personnel Related Expenses","Mandatory Provident Fund contribution",401,279,426,272
"158","Personnel Related Expenses","Civil Service Provident Fund contribution",7230,8691,8296,10126
"158","Departmental Expenses","General departmental expenses",50246,51678,64330,59247
"159","Personal Emoluments","Salaries",207565,245294,226918,262721
"159","Personal Emoluments","Allowances",5735,5509,4692,4692
"159","Personal Emoluments","Job-related allowances",1,12,12,12
"159","Personnel Related Expenses","Mandatory Provident Fund contribution",360,263,380,284
"159","Personnel Related Expenses","Civil Service Provident Fund contribution",6722,7789,8998,10816
"159","Departmental Expenses","Temporary staff",84185,77120,91723,98938
"159","Departmental Expenses","General departmental expenses",68359,101020,96607,111640
"159","Other Charges","Maintenance of government slopes by Housing Department",1700,1600,1600,1800
"160","Personal Emoluments","Salaries",359043,383420,393000,400655
"160","Personal Emoluments","Allowances",9136,10146,8000,10920
"160","Personal Emoluments","Job-related allowances",432,398,600,604
"160","Personnel Related Expenses","Mandatory Provident Fund contribution",2912,3097,2847,2566
"160","Personnel Related Expenses","Civil Service Provident Fund contribution",11756,17119,16577,24339
"160","Personnel Related Expenses","Disturbance allowance",9,21,10,12
"160","Departmental Expenses","General departmental expenses",509999,515884,509700,510155
"162","Personal Emoluments","Salaries",422257,428889,432651,443564
"162","Personal Emoluments","Allowances",5337,6462,6547,6910
"162","Personal Emoluments","Job-related allowances",12,16,20,20
"162","Personnel Related Expenses","Mandatory Provident Fund contribution",1003,1685,1390,2063
"162","Personnel Related Expenses","Civil Service Provident Fund contribution",10022,12088,12258,14735
"162","Departmental Expenses","Temporary staff",19602,18966,18151,21833
"162","Departmental Expenses","General departmental expenses",54695,57200,60352,65103
"163","Personal Emoluments","Salaries",118076,84918,104093,117724
"163","Personal Emoluments","Allowances",3526,1156,2183,1496
"163","Personal Emoluments","Job-related allowances",0,136,129,148
"163","Personnel Related Expenses","Mandatory Provident Fund contribution",407,445,399,710
"163","Personnel Related Expenses","Civil Service Provident Fund contribution",5571,4217,5672,6668
"163","Departmental Expenses","Honoraria for members of committees",480,480,480,480
"163","Departmental Expenses","General departmental expenses",15445,25497,31976,28179
"163","Other Charges","Election expenses",776917,437310,197440,555952
"166","Personal Emoluments","Salaries",146143,154570,153073,164085
"166","Personal Emoluments","Allowances",3387,4514,2820,5875
"166","Personal Emoluments","Job-related allowances",98,110,113,112
"166","Personnel Related Expenses","Mandatory Provident Fund contribution",701,843,791,1064
"166","Personnel Related Expenses","Civil Service Provident Fund contribution",6099,7878,7465,9106
"166","Departmental Expenses","Fuel and lubricating oil",29163,39580,39580,40490
"166","Departmental Expenses","General departmental expenses",61130,87909,77967,97541
"166","Other Charges","Grant to the Government Flying Service Welfare Fund",10,11,11,12
"166","Other Charges","Pay and allowances for the auxiliary services",898,940,900,990
"166","Other Charges","Training expenses for the Government Flying Service",17075,22292,24095,24020
"168","Personal Emoluments","Salaries",191771,198566,196519,208405
"168","Personal Emoluments","Allowances",1649,1874,1748,2048
"168","Personal Emoluments","Job-related allowances",452,488,787,655
"168","Personnel Related Expenses","Mandatory Provident Fund contribution",545,398,619,788
"168","Personnel Related Expenses","Civil Service Provident Fund contribution",5082,6478,6125,7414
"168","Departmental Expenses","General departmental expenses",87197,83848,85857,98768
"168","Other Charges","World Meteorological Organization",110,110,107,110
"169","Personal Emoluments","Salaries",12497,13420,13671,14087
"169","Personal Emoluments","Allowances",549,545,391,378
"169","Personal Emoluments","Job-related allowances",0,1,0,1
"169","Personnel Related Expenses","Mandatory Provident Fund contribution",8,0,7,9
"169","Personnel Related Expenses","Civil Service Provident Fund contribution",815,1045,1013,1055
"169","Departmental Expenses","General departmental expenses",5277,6191,5291,9043
"170","Personal Emoluments","Salaries",2811654,2928963,2915439,3086844
"170","Personal Emoluments","Allowances",21641,23681,24150,24827
"170","Personal Emoluments","Job-related allowances",1624,1859,1584,1492
"170","Personnel Related Expenses","Mandatory Provident Fund contribution",8657,10904,9434,13972
"170","Personnel Related Expenses","Civil Service Provident Fund contribution",103757,125222,123675,145414
"170","Departmental Expenses","General departmental expenses",255196,278979,267984,336470
"170","Other Charges","Grant to the Emergency Relief Fund",5000,5000,5000,5000
"170","Other Charges","Programme and training expenses of institutions",154118,207430,190184,221000
"170","Other Charges","Other payment for welfare services",1871564,2301527,2016545,2911670
"170","Other Charges","United Nations Children's Fund",128,128,128,128
"170","Subventions","Social welfare services (grants)",14444230,15045061,15005249,16665517
"170","Subventions","Refunds of rates",92759,81000,81000,82000
"173","Personal Emoluments","Salaries",357500,432963,402753,466579
"173","Personal Emoluments","Allowances",5887,6176,6174,6502
"173","Personnel Related Expenses","Mandatory Provident Fund contribution",3328,4564,3707,3602
"173","Personnel Related Expenses","Civil Service Provident Fund contribution",10434,17289,14251,23587
"173","Departmental Expenses","General departmental expenses",241987,261959,254027,301728
"174","Personal Emoluments","Salaries",27320,26510,27276,26193
"174","Personal Emoluments","Allowances",351,545,346,766
"174","Personnel Related Expenses","Mandatory Provident Fund contribution",8,8,14,11
"174","Personnel Related Expenses","Civil Service Provident Fund contribution",1040,1134,1227,1348
"174","Departmental Expenses","General departmental expenses",1691,4910,3960,5439
"180","Personal Emoluments","Salaries",33427,33676,34888,35724
"180","Personal Emoluments","Allowances",64,77,138,75
"180","Personnel Related Expenses","Mandatory Provident Fund contribution",154,167,87,49
"180","Personnel Related Expenses","Civil Service Provident Fund contribution",984,1155,1210,1698
"180","Departmental Expenses","General departmental expenses",11593,13270,12225,12770
"181","Personal Emoluments","Salaries",260901,270827,262038,270115
"181","Personal Emoluments","Allowances",6383,7253,7069,7069
"181","Personal Emoluments","Job-related allowances",0,2,2,2
"181","Personnel Related Expenses","Mandatory Provident Fund contribution",776,555,788,740
"181","Personnel Related Expenses","Civil Service Provident Fund contribution",7581,9337,9545,10985
"181","Departmental Expenses","General departmental expenses",72578,66154,76682,71932
"181","Other Charges","Contribution to and participation in the Asia-Pacific Economic Cooperation",1212,1255,1272,1280
"181","Other Charges","Trade negotiations and associated activities",9706,11900,9000,11000
"181","Other Charges","Contribution to the organisation of the Hong Kong Awards for Industries",2000,2000,2000,2000
"181","Other Charges","Subscription to the Pacific Economic Cooperation Council",127,128,128,128
"186","Personal Emoluments","Salaries",797065,865972,844042,940724
"186","Personal Emoluments","Allowances",21788,21984,26047,26047
"186","Personal Emoluments","Job-related allowances",223,265,378,378
"186","Personnel Related Expenses","Mandatory Provident Fund contribution",3274,3430,3337,5153
"186","Personnel Related Expenses","Civil Service Provident Fund contribution",30901,40210,38873,48791
"186","Departmental Expenses","Light and power",4281,3722,3919,4515
"186","Departmental Expenses","Contract maintenance",222045,316501,213660,433480
"186","Departmental Expenses","Workshop services",192825,188802,206974,218279
"186","Departmental Expenses","General departmental expenses",188292,170158,221513,236353
"186","Subventions","Special transport facilities for persons with disabilities",69897,76164,77538,82058
"188","Personal Emoluments","Salaries",211915,217399,221403,225313
"188","Personal Emoluments","Allowances",3154,3397,3643,4301
"188","Personal Emoluments","Job-related allowances",27,19,46,46
"188","Personnel Related Expenses","Mandatory Provident Fund contribution",897,785,910,810
"188","Personnel Related Expenses","Civil Service Provident Fund contribution",4661,6400,6416,8079
"188","Departmental Expenses","General departmental expenses",158625,160051,161463,162156
"190","Personal Emoluments","Salaries",44831,50152,47288,54700
"190","Personal Emoluments","Allowances",815,960,1243,1297
"190","Personal Emoluments","Job-related allowances",0,1,1,1
"190","Personnel Related Expenses","Mandatory Provident Fund contribution",115,93,130,97
"190","Personnel Related Expenses","Civil Service Provident Fund contribution",1768,2535,1918,2997
"190","Departmental Expenses","General departmental expenses",40350,52054,47054,63405
"190","Other Charges","Honoraria for overseas members",11313,14281,13024,15257
"190","Other Charges","Meeting expenses of UGC, Research Grants Council and Quality Assurance Council",15793,29024,20506,34553
"190","Subventions","Grants to UGC-funded universities",18126374,18138223,18503591,18587580
"190","Subventions","Refund of Rates and Government Rent - UGC-funded universities",312985,319772,313400,323126
"190","Subventions","Home Financing Scheme",1312,500,500,0
"190","Subventions","Housing-related expenses other than Home Financing Scheme",54826,54100,54100,54100
"194","Personal Emoluments","Salaries",1609853,1653125,1653606,1712487
"194","Personal Emoluments","Allowances",133361,127207,137905,137905
"194","Personal Emoluments","Job-related allowances",9903,9442,9944,9944
"194","Personnel Related Expenses","Mandatory Provident Fund contribution",7306,9304,8783,11286
"194","Personnel Related Expenses","Civil Service Provident Fund contribution",39650,52992,50342,64789
"194","Departmental Expenses","Light and power",648601,667992,645000,670000
"194","Departmental Expenses","Hire of services and professional fees",112661,110058,119963,114113
"194","Departmental Expenses","Fuel and lubricating oil",195,170,170,170
"194","Departmental Expenses","Specialist supplies and equipment",108546,124495,108243,110289
"194","Departmental Expenses","Maintenance materials",48341,59160,57337,57337
"194","Departmental Expenses","Contract maintenance",571376,501606,545733,511601
"194","Departmental Expenses","General departmental expenses",149932,166581,187997,196176
